time,timezone,latitude,longitude,summary,sunriseTime,sunsetTime,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,daylight,city
2019-11-11 00:00:00,Asia/Kolkata,23.745127,91.746826,Possible drizzle in the afternoon.,2019-11-11 05:36:00,2019-11-11 16:41:00,0.1416,0.5297,2019-11-11 23:00:00,0.51,rain,21.28,2019-11-11 21:08:00,25.16,2019-11-11 10:51:00,22.53,2019-11-11 21:15:00,25.95,2019-11-11 11:00:00,11:05:00,Tripura
2019-11-12 00:00:00,Asia/Kolkata,20.94092,84.803467,,2019-11-12 06:00:00,2019-11-12 17:12:00,0.0044,0.0108,2019-11-12 08:15:00,0.06,rain,17.71,2019-11-12 04:25:00,29.39,2019-11-12 13:31:00,18.1,2019-11-12 04:26:00,29.98,2019-11-12 13:28:00,11:12:00,Odisha
2019-11-11 00:00:00,Asia/Kolkata,26.244156,92.537842,Possible drizzle in the morning.,2019-11-11 05:37:00,2019-11-11 16:34:00,0.13,0.943,2019-11-11 00:00:00,0.82,rain,20.01,2019-11-11 23:00:00,26.09,2019-11-11 13:12:00,20.84,2019-11-11 23:00:00,26.56,2019-11-11 13:13:00,10:57:00,Assam
2019-11-12 00:00:00,Asia/Kolkata,22.978624,87.747803,Clear throughout the day.,2019-11-12 05:52:00,2019-11-12 16:57:00,0.0041,0.0096,2019-11-12 08:17:00,0.06,rain,19.38,2019-11-12 04:32:00,29.9,2019-11-12 14:08:00,19.76,2019-11-12 04:32:00,31.13,2019-11-12 14:10:00,11:05:00,West Bengal
2019-11-11 00:00:00,Asia/Kolkata,11.059821,78.387451,Possible light rain in the morning.,2019-11-11 06:12:00,2019-11-11 17:51:00,0.3873,1.3461,2019-11-11 08:16:00,0.69,rain,24.86,2019-11-11 06:24:00,33.81,2019-11-11 13:36:00,26.14,2019-11-11 06:17:00,40.08,2019-11-11 14:19:00,11:39:00,Tamil Nadu
2019-11-11 00:00:00,Asia/Kolkata,19.601194,75.552979,Foggy starting in the morning.,2019-11-11 06:35:00,2019-11-11 17:51:00,0.0018,0.0088,2019-11-11 14:38:00,0.03,rain,17.32,2019-11-11 06:27:00,30.73,2019-11-11 15:03:00,18.04,2019-11-11 06:26:00,31.01,2019-11-11 15:07:00,11:16:00,Maharashtra
2019-11-12 00:00:00,Asia/Kolkata,28.207609,79.82666,Clear throughout the day.,2019-11-12 06:31:00,2019-11-12 17:21:00,0.0034,0.0085,2019-11-12 08:17:00,0.04,rain,15.17,2019-11-12 03:31:00,27.47,2019-11-12 14:46:00,15.44,2019-11-12 03:31:00,27.19,2019-11-12 14:46:00,10:50:00,Uttar Pradesh
2019-11-12 00:00:00,Asia/Kolkata,26.244156,92.537842,Partly cloudy throughout the day.,2019-11-12 05:37:00,2019-11-12 16:33:00,0.0113,0.0607,2019-11-12 11:30:00,0.09,rain,18.46,2019-11-12 03:37:00,29.02,2019-11-12 14:17:00,19.15,2019-11-12 03:42:00,31.84,2019-11-12 14:09:00,10:56:00,Assam
2019-11-12 00:00:00,Asia/Kolkata,21.295132,81.828232,Clear throughout the day.,2019-11-12 06:13:00,2019-11-12 17:23:00,0.0043,0.0106,2019-11-12 08:15:00,0.02,rain,16.11,2019-11-12 04:31:00,29.69,2019-11-12 13:44:00,16.38,2019-11-12 04:31:00,29.4,2019-11-12 13:43:00,11:10:00,Chhattisgarh
2019-11-11 00:00:00,Asia/Kolkata,19.66328,75.300293,Foggy starting in the morning.,2019-11-11 06:36:00,2019-11-11 17:52:00,0.0083,0.0607,2019-11-11 02:20:00,0.04,rain,17.67,2019-11-11 06:28:00,31.02,2019-11-11 14:58:00,18.32,2019-11-11 06:27:00,31.06,2019-11-11 14:49:00,11:16:00,Maharashtra
2019-11-12 00:00:00,Asia/Kolkata,17.123184,79.208824,Partly cloudy throughout the day.,2019-11-12 06:17:00,2019-11-12 17:40:00,0.0312,0.2084,2019-11-12 20:27:00,0.07,rain,19.7,2019-11-12 04:35:00,31.12,2019-11-12 14:21:00,20.31,2019-11-12 04:34:00,33.27,2019-11-12 14:11:00,11:23:00,Telangana
2019-11-11 00:00:00,Asia/Kolkata,17.874857,78.100815,Clear throughout the day.,2019-11-11 06:22:00,2019-11-11 17:43:00,0.0025,0.014,2019-11-11 14:36:00,0.04,rain,18.69,2019-11-11 05:03:00,29.95,2019-11-11 13:30:00,19.18,2019-11-11 05:04:00,31.21,2019-11-11 13:27:00,11:21:00,Telangana
2019-11-12 00:00:00,Asia/Kolkata,12.9141,74.856,Humid and partly cloudy throughout the day.,2019-11-12 06:29:00,2019-11-12 18:03:00,0.0181,0.073,2019-11-12 17:42:00,0.11,rain,24.01,2019-11-12 07:10:00,32.05,2019-11-12 12:41:00,25.01,2019-11-12 07:10:00,35.88,2019-11-12 12:58:00,11:34:00,Mangalore
2019-11-12 00:00:00,Asia/Kolkata,22.309425,72.13623,Clear throughout the day.,2019-11-12 06:53:00,2019-11-12 18:01:00,0.0041,0.0096,2019-11-12 08:17:00,0.05,rain,21.66,2019-11-12 04:35:00,33.65,2019-11-12 16:00:00,22.17,2019-11-12 04:38:00,33.48,2019-11-12 15:28:00,11:08:00,Gujarat
2019-11-11 00:00:00,Asia/Kolkata,22.309425,72.13623,Clear throughout the day.,2019-11-11 06:52:00,2019-11-11 18:01:00,0.0024,0.0118,2019-11-11 14:43:00,0.04,rain,23,2019-11-11 04:30:00,33.23,2019-11-11 15:31:00,23.75,2019-11-11 04:31:00,34.63,2019-11-11 15:15:00,11:09:00,Gujarat
2019-11-12 00:00:00,Asia/Kolkata,28.7041,77.1025,Clear throughout the day.,2019-11-12 06:43:00,2019-11-12 17:31:00,0,0,2019-11-12 08:17:00,0,,12.83,2019-11-12 07:25:00,29.93,2019-11-12 15:30:00,13.1,2019-11-12 07:25:00,29.65,2019-11-12 15:30:00,10:48:00,Delhi
